                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3173,                 2.5775,                 1.6434,                  1.611,                0.54811,                0.47681,                0.50979,                0.26841,                0.52221,                0.50833,                0.47855,                0.22618,                 1.5358,                 2.7906,                 2.2573,                  1.955,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.2143,                  2.452,                 1.5271,                 1.5011,                0.55342,                0.48676,                0.54346,                0.28306,                0.70192,                0.40833,                0.52494,                0.22349,                 1.6386,                 3.3033,                 2.0338,                 2.0059,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.2603,                  2.463,                 1.5597,                 1.5242,                0.69724,                0.49216,                 0.6321,                0.35175,                0.50447,                0.59412,                0.56749,                0.28245,                 1.4269,                 2.8095,                 1.7787,                 1.8724,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1993,                 2.4587,                 1.4992,                 1.5183,                0.56235,                0.59657,                0.58667,                0.34404,                0.69082,                0.44561,                0.54082,                 0.2941,                  1.368,                  2.712,                 1.9734,                 1.7984,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2084,                 2.3734,                 1.5035,                 1.4902,                0.55852,                 0.5542,                0.54834,                0.33131,                0.58244,                 0.5152,                0.51296,                0.27106,                 1.4526,                 3.0717,                 1.7883,                 1.8776,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2123,                 2.4604,                 1.4584,                 1.4922,                0.67023,                0.53435,                0.59317,                0.34261,                0.65928,                0.52131,                0.58034,                0.28442,                 1.3746,                 2.9751,                 1.8943,                 1.8149,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1341,                 2.3117,                 1.4045,                 1.4298,                0.67828,                0.66409,                0.66478,                0.41422,                0.65348,                0.63829,                0.64112,                0.35343,                 1.2994,                 2.5339,                  1.439,                 1.7108,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.1034,                 2.2766,                 1.3705,                 1.4409,                0.73313,                0.67645,                0.67778,                0.41218,                0.69538,                0.64461,                0.63678,                0.34941,                 1.3671,                 2.6793,                 1.5978,                 1.7351,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1254,                 2.2025,                 1.3494,                 1.4476,                0.67402,                0.58333,                0.64799,                0.39853,                0.66749,                0.56667,                0.60148,                0.32319,                 1.4266,                 2.7101,                 1.7683,                 1.7155,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1547,                 2.3883,                 1.3873,                 1.4748,                0.69223,                0.69069,                0.70651,                0.44136,                0.74192,                 0.6391,                0.68903,                0.37582,                 1.3976,                 2.5568,                 1.4915,                 1.7489,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1545,                 2.3312,                 1.3593,                 1.4749,                0.68867,                0.69314,                 0.7096,                0.41937,                0.67582,                 0.6259,                0.66294,                0.35436,                  1.283,                 2.5718,                 1.5844,                 1.7222,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1337,                 2.3621,                 1.3691,                 1.4862,                0.69671,                0.67091,                0.70805,                0.44228,                0.66117,                0.68333,                0.70503,                0.40057,                 1.3257,                 2.5068,                 1.4799,                 1.7385,              0.0011059,              0.0011059,              0.0011059
